SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
982194,1691515142503,1,10,-1,0,{12;44;59;2;45;74;29},Node Completes Validation,1.0E17,1.2764523641671875E10
1045189,1691515142504,7,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1048648,1691515142504,8,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1052375,1691515142504,3,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1052699,1691515142504,10,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1053982,1691515142504,5,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1056574,1691515142504,2,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1057727,1691515142504,4,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1058556,1691515142504,9,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1087541,1691515142504,6,10,-1,1,{12;44;59;2;45;74;29},Node Receives Propagated Block,-1.0,-1.0
1327547,1691515142504,4,12,-1,0,{83;93;91;75;98},Node Completes Validation,1.0E17,2.1607912296023438E10
1327547,1691515142504,4,12,10,2,{83;93;91;75;98},Appended On Chain (parentless),1.0E17,2.1607912296023438E10
1382625,1691515142505,7,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1382625,1691515142505,7,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
1383360,1691515142506,3,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1383360,1691515142506,3,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
1383930,1691515142506,6,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1383930,1691515142506,6,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
1384341,1691515142506,10,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1384341,1691515142506,10,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
1387924,1691515142506,2,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1387924,1691515142506,2,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
1388145,1691515142506,8,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1388145,1691515142506,8,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
1388408,1691515142506,5,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1388408,1691515142506,5,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
1389699,1691515142507,1,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1389699,1691515142507,1,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
1391722,1691515142507,9,12,10,2,{83;93;91;75;98},Node Receives Propagated Block,-1.0,-1.0
1391722,1691515142507,9,12,10,2,{83;93;91;75;98},Appended On Chain (w/ parent),-1.0,-1.0
2026017,1691515142507,3,14,-1,0,{77;40;63;47;53},Node Completes Validation,1.0E17,2.0453653512E10
2026017,1691515142507,3,14,12,3,{77;40;63;47;53},Appended On Chain (parentless),1.0E17,2.0453653512E10
2082865,1691515142507,9,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2082865,1691515142507,9,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
2086852,1691515142507,2,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2086852,1691515142507,2,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
2088511,1691515142507,8,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2088511,1691515142507,8,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
2089735,1691515142507,4,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2089735,1691515142507,4,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
2090310,1691515142508,7,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2090310,1691515142508,7,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
2091945,1691515142508,1,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2091945,1691515142508,1,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
2092117,1691515142508,10,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2092117,1691515142508,10,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
2093909,1691515142508,6,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2093909,1691515142508,6,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
2112716,1691515142508,5,14,12,3,{77;40;63;47;53},Node Receives Propagated Block,-1.0,-1.0
2112716,1691515142508,5,14,12,3,{77;40;63;47;53},Appended On Chain (w/ parent),-1.0,-1.0
3476554,1691515142508,3,16,-1,0,{80;58;70;95;78;100},Node Completes Validation,1.0E17,1.4670549900875E10
3476554,1691515142508,3,16,14,4,{80;58;70;95;78;100},Appended On Chain (parentless),1.0E17,1.4670549900875E10
3550358,1691515142508,9,16,14,4,{80;58;70;95;78;100},Node Receives Propagated Block,-1.0,-1.0
3550358,1691515142508,9,16,14,4,{80;58;70;95;78;100},Appended On Chain (w/ parent),-1.0,-1.0
3555534,1691515142509,2,16,14,4,{80;58;70;95;78;100},Node Receives Propagated Block,-1.0,-1.0
3555534,1691515142509,2,16,14,4,{80;58;70;95;78;100},Appended On Chain (w/ parent),-1.0,-1.0
3557688,1691515142509,8,16,14,4,{80;58;70;95;78;100},Node Receives Propagated Block,-1.0,-1.0
3557688,1691515142509,8,16,14,4,{80;58;70;95;78;100},Appended On Chain (w/ parent),-1.0,-1.0
3559277,1691515142509,4,16,14,4,{80;58;70;95;78;100},Node Receives Propagated Block,-1.0,-1.0
3559277,1691515142509,4,16,14,4,{80;58;70;95;78;100},Appended On Chain (w/ parent),-1.0,-1.0
3560023,1691515142509,7,16,14,4,{80;58;70;95;78;100},Node Receives Propagated Block,-1.0,-1.0
3560023,1691515142509,7,16,14,4,{80;58;70;95;78;100},Appended On Chain (w/ parent),-1.0,-1.0
3562146,1691515142509,1,16,14,4,{80;58;70;95;78;100},Node Receives Propagated Block,-1.0,-1.0
3562146,1691515142509,1,16,14,4,{80;58;70;95;78;100},Appended On Chain (w/ parent),-1.0,-1.0
