NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,1.2764523641671875E10
2,11528.597,1350.5317,0.06510195,1.7013259684188086E11
3,10113.875,1416.3602,0.07063267,3.5124203412875E10
4,16310.727,1402.4916,0.09510734,1.3439979968884375E11
5,8617.818,1399.7588,0.13301323,0.0
6,12817.112,1357.7222,0.10584002,1.4162711713150195E11
7,10174.979,1362.6683,0.10461502,8.303490647254688E10
8,12934.525,1367.5562,0.12177271,2.1040523899945117E11
9,11353.527,1347.1465,0.055984054,7.598196037538281E10
10,15013.952,1327.5645,0.095787935,2.2339448577457227E11
