SimTime, SysTime, NodeID, BlockID, ParentBlockID, Height, Concent, Place
4046487,1691542473820,1,52,46,20,{89;60;88}, blockchain
4046487,1691542473820,1,46,44,19,{50;39;92;41;67}, blockchain
4046487,1691542473820,1,44,42,18,{51;69;72;36}, blockchain
4046487,1691542473820,1,42,40,17,{79;73;17;16}, blockchain
4046487,1691542473820,1,40,38,16,{4;55;65;22}, blockchain
4046487,1691542473820,1,38,36,15,{3;31;32;42}, blockchain
4046487,1691542473820,1,36,34,14,{84;30;26;8}, blockchain
4046487,1691542473820,1,34,32,13,{52;15;7;99;33}, blockchain
4046487,1691542473820,1,32,30,12,{56;46;57;9;64}, blockchain
4046487,1691542473820,1,30,28,11,{82;10;24;86;85}, blockchain
4046487,1691542473820,1,28,26,10,{71;25;68;23;20}, blockchain
4046487,1691542473820,1,26,24,9,{97;38;28;37;35}, blockchain
4046487,1691542473820,1,24,22,8,{1;48;76;49;5}, blockchain
4046487,1691542473820,1,22,20,7,{21;81;54;62;61}, blockchain
4046487,1691542473820,1,20,18,6,{11;66;94;43;6}, blockchain
4046487,1691542473820,1,18,16,5,{87;18;14;90;34}, blockchain
4046487,1691542473820,1,16,14,4,{80;58;70;95;78;100}, blockchain
4046487,1691542473820,1,14,12,3,{77;40;63;47;53}, blockchain
4046487,1691542473820,1,12,10,2,{83;93;91;75;98}, blockchain
4046487,1691542473820,1,10,-1,1,{12;44;59;2;45;74;29}, blockchain
4046487,1691542473821,1,50,48,-1,{19;13;27;96}, orphans
4046487,1691542473821,2,50,48,20,{19;13;27;96}, blockchain
4046487,1691542473821,2,48,44,19,{50;39;92;41;67}, blockchain
4046487,1691542473821,2,44,42,18,{51;69;72;36}, blockchain
4046487,1691542473821,2,42,40,17,{79;73;17;16}, blockchain
4046487,1691542473821,2,40,38,16,{4;55;65;22}, blockchain
4046487,1691542473821,2,38,36,15,{3;31;32;42}, blockchain
4046487,1691542473821,2,36,34,14,{84;30;26;8}, blockchain
4046487,1691542473821,2,34,32,13,{52;15;7;99;33}, blockchain
4046487,1691542473821,2,32,30,12,{56;46;57;9;64}, blockchain
4046487,1691542473821,2,30,28,11,{82;10;24;86;85}, blockchain
4046487,1691542473821,2,28,26,10,{71;25;68;23;20}, blockchain
4046487,1691542473821,2,26,24,9,{97;38;28;37;35}, blockchain
4046487,1691542473821,2,24,22,8,{1;48;76;49;5}, blockchain
4046487,1691542473821,2,22,20,7,{21;81;54;62;61}, blockchain
4046487,1691542473821,2,20,18,6,{11;66;94;43;6}, blockchain
4046487,1691542473821,2,18,16,5,{87;18;14;90;34}, blockchain
4046487,1691542473821,2,16,14,4,{80;58;70;95;78;100}, blockchain
4046487,1691542473821,2,14,12,3,{77;40;63;47;53}, blockchain
4046487,1691542473821,2,12,10,2,{83;93;91;75;98}, blockchain
4046487,1691542473821,2,10,-1,1,{12;44;59;2;45;74;29}, blockchain
4046487,1691542473821,2,52,46,-1,{89;60;88}, orphans
4046487,1691542473821,3,52,46,20,{89;60;88}, blockchain
4046487,1691542473821,3,46,44,19,{50;39;92;41;67}, blockchain
4046487,1691542473821,3,44,42,18,{51;69;72;36}, blockchain
4046487,1691542473821,3,42,40,17,{79;73;17;16}, blockchain
4046487,1691542473821,3,40,38,16,{4;55;65;22}, blockchain
4046487,1691542473821,3,38,36,15,{3;31;32;42}, blockchain
4046487,1691542473821,3,36,34,14,{84;30;26;8}, blockchain
4046487,1691542473821,3,34,32,13,{52;15;7;99;33}, blockchain
4046487,1691542473821,3,32,30,12,{56;46;57;9;64}, blockchain
4046487,1691542473821,3,30,28,11,{82;10;24;86;85}, blockchain
4046487,1691542473821,3,28,26,10,{71;25;68;23;20}, blockchain
4046487,1691542473821,3,26,24,9,{97;38;28;37;35}, blockchain
4046487,1691542473821,3,24,22,8,{1;48;76;49;5}, blockchain
4046487,1691542473821,3,22,20,7,{21;81;54;62;61}, blockchain
4046487,1691542473821,3,20,18,6,{11;66;94;43;6}, blockchain
4046487,1691542473821,3,18,16,5,{87;18;14;90;34}, blockchain
4046487,1691542473821,3,16,14,4,{80;58;70;95;78;100}, blockchain
4046487,1691542473821,3,14,12,3,{77;40;63;47;53}, blockchain
4046487,1691542473821,3,12,10,2,{83;93;91;75;98}, blockchain
4046487,1691542473821,3,10,-1,1,{12;44;59;2;45;74;29}, blockchain
4046487,1691542473821,3,50,48,-1,{19;13;27;96}, orphans
4046487,1691542473821,4,52,46,20,{89;60;88}, blockchain
4046487,1691542473821,4,46,44,19,{50;39;92;41;67}, blockchain
4046487,1691542473821,4,44,42,18,{51;69;72;36}, blockchain
4046487,1691542473821,4,42,40,17,{79;73;17;16}, blockchain
4046487,1691542473821,4,40,38,16,{4;55;65;22}, blockchain
4046487,1691542473821,4,38,36,15,{3;31;32;42}, blockchain
4046487,1691542473821,4,36,34,14,{84;30;26;8}, blockchain
4046487,1691542473821,4,34,32,13,{52;15;7;99;33}, blockchain
4046487,1691542473821,4,32,30,12,{56;46;57;9;64}, blockchain
4046487,1691542473821,4,30,28,11,{82;10;24;86;85}, blockchain
4046487,1691542473821,4,28,26,10,{71;25;68;23;20}, blockchain
4046487,1691542473821,4,26,24,9,{97;38;28;37;35}, blockchain
4046487,1691542473821,4,24,22,8,{1;48;76;49;5}, blockchain
4046487,1691542473821,4,22,20,7,{21;81;54;62;61}, blockchain
4046487,1691542473821,4,20,18,6,{11;66;94;43;6}, blockchain
4046487,1691542473821,4,18,16,5,{87;18;14;90;34}, blockchain
4046487,1691542473821,4,16,14,4,{80;58;70;95;78;100}, blockchain
4046487,1691542473821,4,14,12,3,{77;40;63;47;53}, blockchain
4046487,1691542473821,4,12,10,2,{83;93;91;75;98}, blockchain
4046487,1691542473821,4,10,-1,1,{12;44;59;2;45;74;29}, blockchain
4046487,1691542473821,4,50,48,-1,{19;13;27;96}, orphans
4046487,1691542473821,5,52,46,20,{89;60;88}, blockchain
4046487,1691542473821,5,46,44,19,{50;39;92;41;67}, blockchain
4046487,1691542473821,5,44,42,18,{51;69;72;36}, blockchain
4046487,1691542473821,5,42,40,17,{79;73;17;16}, blockchain
4046487,1691542473821,5,40,38,16,{4;55;65;22}, blockchain
4046487,1691542473821,5,38,36,15,{3;31;32;42}, blockchain
4046487,1691542473821,5,36,34,14,{84;30;26;8}, blockchain
4046487,1691542473821,5,34,32,13,{52;15;7;99;33}, blockchain
4046487,1691542473821,5,32,30,12,{56;46;57;9;64}, blockchain
4046487,1691542473821,5,30,28,11,{82;10;24;86;85}, blockchain
4046487,1691542473821,5,28,26,10,{71;25;68;23;20}, blockchain
4046487,1691542473821,5,26,24,9,{97;38;28;37;35}, blockchain
4046487,1691542473821,5,24,22,8,{1;48;76;49;5}, blockchain
4046487,1691542473821,5,22,20,7,{21;81;54;62;61}, blockchain
4046487,1691542473821,5,20,18,6,{11;66;94;43;6}, blockchain
4046487,1691542473821,5,18,16,5,{87;18;14;90;34}, blockchain
4046487,1691542473821,5,16,14,4,{80;58;70;95;78;100}, blockchain
4046487,1691542473821,5,14,12,3,{77;40;63;47;53}, blockchain
4046487,1691542473821,5,12,10,2,{83;93;91;75;98}, blockchain
4046487,1691542473821,5,10,-1,1,{12;44;59;2;45;74;29}, blockchain
4046487,1691542473821,5,50,48,-1,{19;13;27;96}, orphans
4046487,1691542473822,6,52,46,20,{89;60;88}, blockchain
4046487,1691542473822,6,46,44,19,{50;39;92;41;67}, blockchain
4046487,1691542473822,6,44,42,18,{51;69;72;36}, blockchain
4046487,1691542473822,6,42,40,17,{79;73;17;16}, blockchain
4046487,1691542473822,6,40,38,16,{4;55;65;22}, blockchain
4046487,1691542473822,6,38,36,15,{3;31;32;42}, blockchain
4046487,1691542473822,6,36,34,14,{84;30;26;8}, blockchain
4046487,1691542473822,6,34,32,13,{52;15;7;99;33}, blockchain
4046487,1691542473822,6,32,30,12,{56;46;57;9;64}, blockchain
4046487,1691542473822,6,30,28,11,{82;10;24;86;85}, blockchain
4046487,1691542473822,6,28,26,10,{71;25;68;23;20}, blockchain
4046487,1691542473822,6,26,24,9,{97;38;28;37;35}, blockchain
4046487,1691542473822,6,24,22,8,{1;48;76;49;5}, blockchain
4046487,1691542473822,6,22,20,7,{21;81;54;62;61}, blockchain
4046487,1691542473822,6,20,18,6,{11;66;94;43;6}, blockchain
4046487,1691542473822,6,18,16,5,{87;18;14;90;34}, blockchain
4046487,1691542473822,6,16,14,4,{80;58;70;95;78;100}, blockchain
4046487,1691542473822,6,14,12,3,{77;40;63;47;53}, blockchain
4046487,1691542473822,6,12,10,2,{83;93;91;75;98}, blockchain
4046487,1691542473822,6,10,-1,1,{12;44;59;2;45;74;29}, blockchain
4046487,1691542473822,6,50,48,-1,{19;13;27;96}, orphans
4046487,1691542473822,7,52,46,20,{89;60;88}, blockchain
4046487,1691542473822,7,46,44,19,{50;39;92;41;67}, blockchain
4046487,1691542473822,7,44,42,18,{51;69;72;36}, blockchain
4046487,1691542473822,7,42,40,17,{79;73;17;16}, blockchain
4046487,1691542473822,7,40,38,16,{4;55;65;22}, blockchain
4046487,1691542473822,7,38,36,15,{3;31;32;42}, blockchain
4046487,1691542473822,7,36,34,14,{84;30;26;8}, blockchain
4046487,1691542473822,7,34,32,13,{52;15;7;99;33}, blockchain
4046487,1691542473822,7,32,30,12,{56;46;57;9;64}, blockchain
4046487,1691542473822,7,30,28,11,{82;10;24;86;85}, blockchain
4046487,1691542473822,7,28,26,10,{71;25;68;23;20}, blockchain
4046487,1691542473822,7,26,24,9,{97;38;28;37;35}, blockchain
4046487,1691542473822,7,24,22,8,{1;48;76;49;5}, blockchain
4046487,1691542473822,7,22,20,7,{21;81;54;62;61}, blockchain
4046487,1691542473822,7,20,18,6,{11;66;94;43;6}, blockchain
4046487,1691542473822,7,18,16,5,{87;18;14;90;34}, blockchain
4046487,1691542473822,7,16,14,4,{80;58;70;95;78;100}, blockchain
4046487,1691542473822,7,14,12,3,{77;40;63;47;53}, blockchain
4046487,1691542473822,7,12,10,2,{83;93;91;75;98}, blockchain
4046487,1691542473822,7,10,-1,1,{12;44;59;2;45;74;29}, blockchain
4046487,1691542473822,7,50,48,-1,{19;13;27;96}, orphans
4046487,1691542473822,8,52,46,20,{89;60;88}, blockchain
4046487,1691542473822,8,46,44,19,{50;39;92;41;67}, blockchain
4046487,1691542473822,8,44,42,18,{51;69;72;36}, blockchain
4046487,1691542473822,8,42,40,17,{79;73;17;16}, blockchain
4046487,1691542473822,8,40,38,16,{4;55;65;22}, blockchain
4046487,1691542473822,8,38,36,15,{3;31;32;42}, blockchain
4046487,1691542473822,8,36,34,14,{84;30;26;8}, blockchain
4046487,1691542473822,8,34,32,13,{52;15;7;99;33}, blockchain
4046487,1691542473822,8,32,30,12,{56;46;57;9;64}, blockchain
4046487,1691542473822,8,30,28,11,{82;10;24;86;85}, blockchain
4046487,1691542473822,8,28,26,10,{71;25;68;23;20}, blockchain
4046487,1691542473822,8,26,24,9,{97;38;28;37;35}, blockchain
