TxID, Size (bytes), Value (coins), ArrivalTime (ms)
1,609.0,52.96213,57
2,570.0,39.63332,118
3,638.0,37.231087,133
4,600.0,45.533676,139
5,505.0,44.549114,211
6,578.0,39.436172,220
7,798.0,48.624702,287
8,611.0,50.38561,633
9,690.0,50.80688,726
10,718.0,58.970985,820
11,532.0,64.86958,966
12,410.0,41.12576,994
13,445.0,62.187088,1155
14,689.0,62.862656,1270
15,795.0,59.255653,1395
16,586.0,65.84777,1678
17,584.0,62.016235,1749
18,765.0,64.17303,2136
19,433.0,32.818214,2207
20,514.0,49.86026,2242
21,438.0,64.76778,2517
22,570.0,38.2241,2688
23,557.0,42.8691,2785
24,539.0,21.362717,3233
25,578.0,59.205936,3290
26,632.0,72.76073,3293
27,635.0,54.91595,3306
28,389.0,51.620525,3530
29,532.0,23.50412,3616
30,468.0,57.59726,3949
31,562.0,37.689117,3959
32,650.0,50.063084,3978
33,673.0,52.770096,4003
34,477.0,25.530731,4006
35,628.0,69.00504,4023
36,530.0,48.163033,4041
37,462.0,52.933155,4087
38,453.0,50.207245,4139
39,520.0,47.534424,4260
40,421.0,31.276588,4641
41,599.0,52.098076,4857
42,646.0,55.11574,5011
43,523.0,53.68924,5301
44,569.0,63.05643,5468
45,590.0,49.414734,5540
46,509.0,56.128815,5770
47,484.0,37.312992,5800
48,434.0,47.102062,6209
49,516.0,56.641197,6369
50,603.0,36.859093,6897
51,590.0,28.549072,6970
52,626.0,70.1301,7232
53,574.0,78.804886,7360
54,541.0,69.531006,7420
55,578.0,55.909836,7494
56,540.0,40.754486,7559
57,446.0,41.35757,7578
58,641.0,50.716415,7726
59,646.0,58.561768,7761
60,458.0,58.63076,7830
61,658.0,59.50389,7942
62,445.0,43.869526,8127
63,474.0,59.241474,8386
64,652.0,47.9851,8462
65,717.0,53.58888,8862
66,681.0,36.83625,8887
67,464.0,36.66901,8955
68,676.0,35.652077,9038
69,645.0,49.237568,9066
70,549.0,55.21882,9140
71,458.0,40.508766,9179
72,490.0,57.140297,9324
73,507.0,57.932133,9415
74,662.0,47.9584,9471
75,646.0,47.52223,9525
76,530.0,54.027462,10084
77,553.0,62.069492,10138
78,536.0,53.052692,10210
79,575.0,50.06475,10356
80,711.0,37.59478,10507
81,495.0,36.502575,10515
82,628.0,78.902054,10546
83,635.0,51.99344,10750
84,620.0,52.68985,10843
85,508.0,41.36101,10945
86,505.0,47.876038,11086
87,498.0,56.394394,11341
88,364.0,29.26803,11439
89,544.0,35.404,11917
90,491.0,44.9159,11990
91,564.0,61.91233,12128
92,606.0,36.121273,12157
93,490.0,54.25614,12262
94,520.0,62.303413,12326
95,692.0,63.675476,12593
96,726.0,38.75448,12843
97,621.0,50.60985,12855
98,714.0,52.14503,12911
99,523.0,50.829678,13033
100,517.0,30.625208,13125
101,630.0,62.45764,13282
102,533.0,43.742893,13298
103,618.0,35.639217,13649
104,767.0,60.38934,13862
105,509.0,50.157417,14170
106,529.0,52.227665,14365
107,575.0,47.351913,14624
108,605.0,54.87047,14678
109,371.0,44.000465,14799
110,438.0,51.12199,15189
111,664.0,59.706837,15251
112,764.0,53.886982,15537
113,408.0,53.72122,15955
114,613.0,47.962414,16104
115,584.0,32.33156,16208
116,638.0,42.770462,16384
117,446.0,47.572704,16562
118,540.0,61.24357,16710
119,664.0,40.502693,16810
120,545.0,44.034573,16834
121,611.0,56.5745,16854
122,536.0,43.94853,17033
123,623.0,31.152357,17071
124,518.0,48.593,17107
125,680.0,56.625565,17353
126,499.0,42.39848,17369
127,539.0,63.846924,17399
128,621.0,45.868095,17446
129,371.0,40.98086,17486
130,459.0,42.810112,17685
131,630.0,53.987568,17744
132,567.0,72.68118,17994
133,655.0,51.498886,18143
134,503.0,59.553062,18173
135,597.0,51.687435,18281
136,526.0,39.442986,18282
137,403.0,70.151726,18295
138,512.0,6.4930115,18347
139,649.0,34.160236,18502
140,559.0,47.59014,18539
141,467.0,48.503567,18757
142,666.0,46.796886,18998
143,468.0,50.908897,19026
144,516.0,53.864822,19355
145,713.0,61.43045,19585
146,603.0,35.081844,19808
147,563.0,59.26731,19930
148,506.0,33.38645,19996
149,566.0,64.49891,20090
150,578.0,32.24491,20140
151,663.0,49.25897,20344
152,601.0,69.88986,20419
153,537.0,43.9959,20426
154,749.0,51.81565,20514
155,667.0,39.11135,20519
156,532.0,38.95314,20523
157,612.0,34.47751,20658
159,589.0,37.756912,20734
158,549.0,41.487835,20734
160,422.0,39.114117,20780
161,559.0,39.499123,21100
162,596.0,50.64862,21234
163,487.0,56.209854,21384
164,356.0,51.207504,21561
165,610.0,57.69139,21677
166,541.0,75.46695,22053
167,600.0,42.507366,22116
168,643.0,30.84224,22228
169,480.0,56.078644,22518
170,536.0,55.48056,22681
171,698.0,43.078106,22863
172,664.0,63.668434,23113
173,354.0,56.02655,23230
174,650.0,73.62189,23267
175,504.0,42.718945,23293
176,533.0,35.180565,23348
177,559.0,33.711792,23841
178,579.0,57.76556,23881
179,392.0,50.195786,23891
180,403.0,40.757057,24039
181,467.0,50.34282,24139
182,598.0,59.184303,24482
183,409.0,54.588287,24642
184,570.0,41.126694,24804
185,568.0,42.419758,24954
186,413.0,37.859024,25031
187,472.0,56.756664,25104
188,484.0,49.660862,25572
189,571.0,28.519073,25590
190,588.0,68.759026,25717
191,495.0,44.377914,26039
192,458.0,34.920944,26236
193,499.0,57.165382,26568
194,563.0,42.32627,26888
195,584.0,48.419914,27014
196,561.0,46.917496,27077
197,554.0,62.246895,27825
198,669.0,50.88925,27835
199,487.0,56.05908,28000
200,630.0,55.06218,28015
201,526.0,71.62132,28073
202,349.0,39.256256,28119
203,481.0,62.508698,28193
204,436.0,49.434067,28401
205,570.0,34.99611,28471
206,600.0,36.986984,28578
207,428.0,39.30735,28586
208,348.0,43.869976,28667
209,586.0,39.843716,28785
210,493.0,63.597153,28787
211,506.0,49.916985,28873
212,599.0,35.555447,28925
213,467.0,65.290855,28961
214,507.0,49.407284,29101
215,620.0,49.228493,29333
216,583.0,32.674393,29404
217,537.0,41.217285,29524
218,402.0,19.95058,29801
219,784.0,58.876102,29851
220,509.0,61.85972,30507
221,422.0,41.31115,30507
222,583.0,63.121395,30699
223,477.0,44.12946,30813
224,646.0,60.229324,30842
225,734.0,66.325424,31303
226,639.0,64.10507,31677
227,595.0,61.989296,31875
228,699.0,39.726925,31929
229,512.0,61.38183,32331
230,521.0,53.317783,32452
231,584.0,52.812107,32621
232,509.0,44.348557,32703
233,668.0,19.373493,32741
234,442.0,62.925526,32906
235,692.0,51.559074,32953
236,565.0,60.322105,33008
237,610.0,23.020685,33131
238,656.0,42.68618,33229
239,398.0,41.607002,33260
240,558.0,32.81327,33374
241,544.0,48.163742,33739
242,490.0,52.16694,33791
243,429.0,47.32642,33797
244,578.0,60.354866,33825
245,490.0,52.568447,33988
246,615.0,39.408424,34048
247,524.0,63.252373,34052
248,435.0,43.826603,34089
249,541.0,53.9254,34153
250,626.0,55.33244,34393
251,503.0,57.731422,34418
252,621.0,58.97816,34506
253,513.0,45.196915,34675
254,332.0,52.922333,34844
255,645.0,52.539043,34989
256,621.0,51.04145,34995
257,550.0,43.86989,35095
258,544.0,44.29073,35320
259,434.0,44.701717,35482
260,577.0,71.77677,36083
261,776.0,39.07463,36362
262,518.0,69.140274,36449
263,668.0,41.023735,36632
264,543.0,54.365124,36648
265,686.0,56.419132,36838
266,554.0,40.88624,36971
267,662.0,42.237606,37132
268,480.0,39.961067,37691
269,581.0,53.39217,38087
270,539.0,28.423197,38186
271,510.0,46.220104,38403
272,634.0,35.70802,38670
273,603.0,63.52987,38855
274,648.0,39.260437,38890
275,495.0,36.47252,39141
276,514.0,60.366207,39348
277,472.0,57.89348,39470
278,674.0,60.983315,39511
279,597.0,33.16013,39618
280,419.0,42.960396,39723
281,513.0,48.22858,39760
282,577.0,63.424,39800
283,524.0,52.578415,39926
285,513.0,53.906082,40431
284,647.0,29.683708,40431
286,401.0,48.996674,40444
287,511.0,58.073032,40496
288,429.0,42.2955,40560
290,508.0,37.208138,40648
289,560.0,60.740707,40648
291,583.0,46.423687,40733
292,493.0,44.884697,40802
293,608.0,46.217907,40923
294,617.0,74.63326,40967
295,470.0,56.39882,41134
296,668.0,42.506653,41165
297,564.0,44.53035,41273
298,523.0,54.533794,41330
299,494.0,56.288414,41351
300,317.0,58.811222,41483
301,527.0,60.978386,41547
302,579.0,42.384846,41567
