SimTime,SysTime,NodeID,BlockID,ParentID,Height,BlockContent,EvtType,Difficulty,Cycles
276,3,2,1,-1,0,{5;13;7;4;1},Node Completes Validation,8.639E13,2.85262350234375E7
590,6,3,3,-1,0,{24;5;21;13;7;19},Node Completes Validation,8.639E13,5.972291765625E7
765,6,3,7,-1,0,{4;12;16;1;28},Node Completes Validation,8.639E13,1.9426599609375E7
765,7,3,7,3,2,{4;12;16;1;28},Appended On Chain (parentless),8.639E13,1.9426599609375E7
772,7,4,2,-1,0,{24;5;21;13;7;19},Node Completes Validation,8.639E13,8.33621558359375E7
874,7,2,6,-1,0,{24;21;19;12;16},Node Completes Validation,8.639E13,6.6376220015625E7
874,7,2,6,1,2,{24;21;19;12;16},Appended On Chain (parentless),8.639E13,6.6376220015625E7
1123,7,3,8,-1,0,{25;22;15;9;29},Node Completes Validation,8.639E13,3.974127234375E7
1123,7,3,8,7,3,{25;22;15;9;29},Appended On Chain (parentless),8.639E13,3.974127234375E7
1228,7,3,11,-1,0,{2;26;6;14},Node Completes Validation,8.639E13,1.1655959765625E7
1228,7,3,11,8,4,{2;26;6;14},Appended On Chain (parentless),8.639E13,1.1655959765625E7
1284,7,5,1,-1,1,{5;13;7;4;1},Node Receives Propagated Block,-1.0,-1.0
1286,7,4,1,-1,1,{5;13;7;4;1},Node Receives Propagated Block,-1.0,-1.0
1286,7,4,1,-1,1,{5;13;7;4;1},Discarding due to chain overlap,-1.0,-1.0
1286,8,3,1,-1,1,{5;13;7;4;1},Node Receives Propagated Block,-1.0,-1.0
1286,8,3,1,-1,1,{5;13;7;4;1},Discarding due to chain overlap,-1.0,-1.0
1287,8,1,1,-1,1,{5;13;7;4;1},Node Receives Propagated Block,-1.0,-1.0
1316,8,2,10,-1,0,{28;25;22;15;9},Node Completes Validation,8.639E13,4.9060684359375E7
1316,8,2,10,6,3,{28;25;22;15;9},Appended On Chain (parentless),8.639E13,4.9060684359375E7
1682,8,1,3,-1,1,{24;5;21;13;7;19},Node Receives Propagated Block,-1.0,-1.0
1682,8,1,3,-1,1,{24;5;21;13;7;19},Discarding due to chain overlap,-1.0,-1.0
1682,8,4,3,-1,1,{24;5;21;13;7;19},Node Receives Propagated Block,-1.0,-1.0
1682,8,4,3,-1,1,{24;5;21;13;7;19},Discarding due to chain overlap,-1.0,-1.0
1683,8,2,3,-1,1,{24;5;21;13;7;19},Node Receives Propagated Block,-1.0,-1.0
1683,8,2,3,-1,1,{24;5;21;13;7;19},Discarding due to chain overlap,-1.0,-1.0
1683,8,5,3,-1,1,{24;5;21;13;7;19},Node Receives Propagated Block,-1.0,-1.0
1683,8,5,3,-1,1,{24;5;21;13;7;19},Discarding due to chain overlap,-1.0,-1.0
1711,8,3,12,-1,0,{18;11;17;23},Node Completes Validation,8.639E13,5.3617414921875E7
1711,8,3,12,11,5,{18;11;17;23},Appended On Chain (parentless),8.639E13,5.3617414921875E7
1720,8,4,9,-1,0,{12;16;28;25;22},Node Completes Validation,8.639E13,1.0522945903125E8
1720,8,4,9,2,2,{12;16;28;25;22},Appended On Chain (parentless),8.639E13,1.0522945903125E8
1839,8,5,2,-1,1,{24;5;21;13;7;19},Node Receives Propagated Block,-1.0,-1.0
1839,8,5,2,-1,1,{24;5;21;13;7;19},Discarding due to chain overlap,-1.0,-1.0
1839,8,3,2,-1,1,{24;5;21;13;7;19},Node Receives Propagated Block,-1.0,-1.0
1839,8,3,2,-1,1,{24;5;21;13;7;19},Discarding due to chain overlap,-1.0,-1.0
1840,8,1,2,-1,1,{24;5;21;13;7;19},Node Receives Propagated Block,-1.0,-1.0
1840,8,1,2,-1,1,{24;5;21;13;7;19},Discarding due to chain overlap,-1.0,-1.0
1840,8,2,2,-1,1,{24;5;21;13;7;19},Node Receives Propagated Block,-1.0,-1.0
1840,8,2,2,-1,1,{24;5;21;13;7;19},Discarding due to chain overlap,-1.0,-1.0
1913,8,4,15,-1,0,{15;9;29;2;26},Node Completes Validation,8.639E13,2.14232970390625E7
1913,8,4,15,9,3,{15;9;29;2;26},Appended On Chain (parentless),8.639E13,2.14232970390625E7
2056,8,5,6,1,2,{24;21;19;12;16},Node Receives Propagated Block,-1.0,-1.0
2056,8,5,6,1,2,{24;21;19;12;16},Appended On Chain (w/ parent),-1.0,-1.0
2057,8,3,6,1,2,{24;21;19;12;16},Node Receives Propagated Block,-1.0,-1.0
2057,8,3,6,1,-1,{24;21;19;12;16},Added to Orphans,-1.0,-1.0
2058,9,4,6,1,2,{24;21;19;12;16},Node Receives Propagated Block,-1.0,-1.0
2058,9,4,6,1,-1,{24;21;19;12;16},Added to Orphans,-1.0,-1.0
2059,9,1,6,1,2,{24;21;19;12;16},Node Receives Propagated Block,-1.0,-1.0
2059,9,1,6,1,2,{24;21;19;12;16},Appended On Chain (w/ parent),-1.0,-1.0
2061,9,1,4,-1,0,{28;25;22;15;9},Node Completes Validation,8.639E13,2.145659750078125E8
2061,9,1,4,6,3,{28;25;22;15;9},Appended On Chain (parentless),8.639E13,2.145659750078125E8
2072,9,1,17,-1,0,{29;2;26;6},Node Completes Validation,8.639E13,1221016.9296875
2072,9,1,17,4,4,{29;2;26;6},Appended On Chain (parentless),8.639E13,1221016.9296875
2131,9,5,5,-1,0,{28;25;22;15;9},Node Completes Validation,8.639E13,2.223270379453125E8
2131,9,5,5,6,3,{28;25;22;15;9},Appended On Chain (parentless),8.639E13,2.223270379453125E8
2436,9,5,19,-1,0,{29;2;26;6},Node Completes Validation,8.639E13,3.38540921484375E7
2436,9,5,19,5,4,{29;2;26;6},Appended On Chain (parentless),8.639E13,3.38540921484375E7
2474,9,5,20,-1,0,{14;18;11;17},Node Completes Validation,8.639E13,4217886.890625
2474,9,5,20,19,5,{14;18;11;17},Appended On Chain (parentless),8.639E13,4217886.890625
2529,9,5,21,-1,0,{23;3;30;27;8},Node Completes Validation,8.639E13,6104836.2890625
2529,9,5,21,20,6,{23;3;30;27;8},Appended On Chain (parentless),8.639E13,6104836.2890625
2562,9,2,13,-1,0,{29;2;26;6},Node Completes Validation,8.639E13,1.38302291203125E8
2562,9,2,13,10,4,{29;2;26;6},Appended On Chain (parentless),8.639E13,1.38302291203125E8
2598,9,1,18,-1,0,{14;18;11;17},Node Completes Validation,8.639E13,5.8386809546875E7
2598,10,1,18,17,5,{14;18;11;17},Appended On Chain (parentless),8.639E13,5.8386809546875E7
2602,10,1,7,3,2,{4;12;16;1;28},Node Receives Propagated Block,-1.0,-1.0
2602,10,1,7,3,-1,{4;12;16;1;28},Added to Orphans,-1.0,-1.0
2602,10,4,7,3,2,{4;12;16;1;28},Node Receives Propagated Block,-1.0,-1.0
2602,10,4,7,3,-1,{4;12;16;1;28},Added to Orphans,-1.0,-1.0
2603,10,2,7,3,2,{4;12;16;1;28},Node Receives Propagated Block,-1.0,-1.0
2603,10,2,7,3,-1,{4;12;16;1;28},Added to Orphans,-1.0,-1.0
2603,10,5,7,3,2,{4;12;16;1;28},Node Receives Propagated Block,-1.0,-1.0
2603,10,5,7,3,-1,{4;12;16;1;28},Added to Orphans,-1.0,-1.0
2840,10,1,11,8,4,{2;26;6;14},Node Receives Propagated Block,-1.0,-1.0
2840,10,1,11,8,-1,{2;26;6;14},Added to Orphans,-1.0,-1.0
2840,10,4,11,8,4,{2;26;6;14},Node Receives Propagated Block,-1.0,-1.0
2840,10,4,11,8,-1,{2;26;6;14},Added to Orphans,-1.0,-1.0
2841,10,5,11,8,4,{2;26;6;14},Node Receives Propagated Block,-1.0,-1.0
2841,10,5,11,8,-1,{2;26;6;14},Added to Orphans,-1.0,-1.0
2841,10,2,11,8,4,{2;26;6;14},Node Receives Propagated Block,-1.0,-1.0
2841,10,2,11,8,-1,{2;26;6;14},Added to Orphans,-1.0,-1.0
2895,10,4,8,7,3,{25;22;15;9;29},Node Receives Propagated Block,-1.0,-1.0
2895,10,4,8,7,-1,{25;22;15;9;29},Added to Orphans,-1.0,-1.0
2895,10,1,8,7,3,{25;22;15;9;29},Node Receives Propagated Block,-1.0,-1.0
2895,10,1,8,7,-1,{25;22;15;9;29},Added to Orphans,-1.0,-1.0
2896,10,5,8,7,3,{25;22;15;9;29},Node Receives Propagated Block,-1.0,-1.0
2896,10,5,8,7,-1,{25;22;15;9;29},Added to Orphans,-1.0,-1.0
